pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guiana,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0
Haiti,8.0,5.0,7.0,7.0,8.0,8.0,8.0,12.0,8.0,9.0,16.0,18.0,18.0,18.0,18.0
Honduras,20.0,21.0,16.0,11.0,11.0,16.0,16.0,14.0,14.0,15.0,19.0,20.0,20.0,20.0,20.0
Hong Kong,167.0,222.0,250.0,260.0,277.0,308.0,315.0,307.0,332.0,359.0,360.0,355.0,323.0,307.0,307.0
Hungria,2822.0,3029.0,2611.0,2345.0,2591.0,2355.0,2357.0,2149.0,2491.0,2638.0,2426.0,2694.0,2143.0,1925.0,1829.0
Islândia,39.0,39.0,56.0,47.0,38.0,39.0,40.0,40.0,42.0,44.0,44.0,45.0,46.0,50.0,50.0
Índia,112.0,131.0,139.0,160.0,174.0,176.0,185.0,191.0,202.0,217.0,231.0,245.0,232.0,212.0,212.0
Indonésia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,49.0,49.0,25.0,25.0
Irã,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraque,1.0,2.0,2.0,3.0,5.0,6.0,6.0,4.0,5.0,8.0,8.0,6.0,8.0,10.0,10.0
Irlanda,734.0,754.0,677.0,636.0,678.0,731.0,767.0,747.0,743.0,784.0,805.0,765.0,752.0,915.0,890.0
Israel,51.0,66.0,56.0,61.0,61.0,80.0,34.0,9.0,43.0,47.0,51.0,76.0,22.0,38.0,38.0
Itália,26700.0,26166.0,23000.0,23500.0,22000.0,21600.0,20800.0,19500.0,21400.0,22400.0,22600.0,22400.0,22600.0,24200.0,24200.0
Jamaica,18.0,20.0,21.0,22.0,19.0,16.0,21.0,24.0,26.0,40.0,59.0,56.0,47.0,45.0,45.0
Japão,2293.0,2374.0,2533.0,2610.0,2778.0,3120.0,3398.0,3490.0,3555.0,3523.0,3524.0,3488.0,3512.0,3482.0,3296.0
Jordânia,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
