pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Estônia,22449129482.6,24341678629.0,19633031397.6,19523477325.6,23213994093.5,23019150071.2,25115753366.1,26634083965.1,22890762090.2,24072829276.8,26924385103.1,30624720196.2,31081901909.2,31370395572.8,37191166152.0
Eswatini,3469363996.4,3294093485.2,3580417066.9,4438778424.3,4820499924.3,4886533032.9,4597532029.7,4422968339.7,4063245671.3,3816022046.8,4402969225.9,4665237415.1,4495264160.9,3982226055.4,4743335152.9
Etiópia,19707616772.8,27066912635.2,32437389116.0,29933790334.3,31952763089.3,43310721414.1,47648211133.2,55612228233.5,64589334978.8,74296618481.1,81770791971.0,84269348327.3,95912590628.1,107657734392.4,111271112330.0
Ilhas Faroe,2339015743.0,2489888389.8,2296051036.2,2331786419.2,2505746270.0,2427190332.3,2690116268.7,2913995545.7,2573908649.1,2813286391.3,2980054218.6,3188610521.6,3275706960.1,3248696901.6,3649886275.1
Fiji,3378314599.8,3523185919.6,2870624635.7,3140181443.8,3779378133.9,3972012570.5,4189915666.6,4857220601.8,4682546881.2,4930204219.7,5353404418.7,5581371847.6,5481675173.4,4477040340.5,4296304590.0
Finlândia,256378067752.2,285716311136.7,253497520828.5,249424310816.7,275604356167.3,258290060227.7,271362405890.6,274862826772.2,234534382384.8,240771351298.8,255647979916.5,275708001767.8,268514916972.5,271891788362.6,297301883523.3
França,2660591246211.8,2930303780828.1,2700887366932.0,2645187882116.7,2865157541994.2,2683671716967.2,2811876903329.0,2855964488590.2,2439188643162.5,2472964344587.2,2595151045197.7,2790956878746.7,2728870246705.9,2639008701648.3,2957879759263.5
Polinésia,6631160061.1,7136743972.8,6584556511.7,6086643040.4,6203936563.3,5692858773.2,6031828532.4,6151998958.0,5325848045.4,5497037292.6,5833351477.9,6135117589.1,6001384759.6,5709421968.7,6054676735.4
Gabão,12455410055.7,15571349775.8,12113699660.7,14372591916.5,18210308748.3,17170465294.0,17595745653.4,18203968001.9,14383107714.0,14023890620.3,14929488770.7,16867326389.9,16874405460.2,15314577167.8,20216843174.0
Gâmbia,1279704744.8,1561763437.0,1450140386.0,1543292392.5,1409694553.9,1415006238.1,1375608956.1,1229460601.9,1378176868.3,1484579844.4,1504909753.3,1670670668.6,1813608279.7,1812169483.7,2038417462.4
Geórgia,10172882370.5,12795076469.0,10766836276.6,12243505582.7,15107441446.8,16488403076.4,17189551521.0,17627003454.7,14953950557.4,15141758566.8,16242916915.7,17596922469.9,17470436258.5,15842922532.7,18629365597.0
Alemanha,3425578382921.6,3745264093617.2,3411261212652.3,3399667820000.0,3749314991050.6,3527143188785.2,3733804649549.0,3889093051023.5,3357585719351.6,3469853463945.5,3690849152517.7,3974443355019.6,3888226035921.6,3889668895299.6,4259934911821.6
Gana,24827844949.6,28678701891.1,26048108185.1,32197272797.2,39337314809.9,41270954737.2,62823043706.5,54782847752.5,49406568432.7,56165172898.9,60406382898.5,67299280679.6,68337537815.8,70043199813.7,77594279054.9
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grécia,318902829550.7,355908689477.4,331308500253.3,297124961971.5,282995942006.6,242029307133.4,238907690051.1,235458133124.6,195683527003.4,193148146586.9,199844406013.5,212049447242.1,205257014892.5,188925995936.8,214873879833.6
Groenlândia,2249811708.9,2499107510.6,2529948329.6,2503156060.5,2684467375.7,2609667673.7,2684952726.9,2842048997.8,2499115623.0,2707146783.1,2851610655.9,3055791340.7,2994332323.7,3076015346.8,0.0
Granada,758683592.6,825976037.0,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911500000.0,997007407.4,1061640740.7,1125681481.5,1166511111.1,1213485185.2,1043414814.8,1122807407.4
Guam,4397000000.0,4658000000.0,4828000000.0,4949000000.0,4984000000.0,5265000000.0,5399000000.0,5610000000.0,5799000000.0,5901000000.0,6013000000.0,6056000000.0,6366000000.0,5886000000.0,6123000000.0
