pais,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
Macau,3.27,3.0,3.58,2.84,2.56,1.97,1.82,1.67,1.81,1.94,1.99,1.83,1.75,2.57,2.253
Madagascar,3.253,3.564,4.004,4.28,2.438,0.6,0.998,1.391,1.79,1.8,1.815,1.833,1.841,2.363,2.31
Malawi,4.894,4.919,4.92,4.941,4.968,5.004,4.98,4.968,4.987,4.982,4.96,4.949,4.932,5.681,5.658
Malásia,3.23,3.32,3.66,3.39,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.54,4.046
Maldivas,9.702,10.816,11.7,11.008,10.149,9.216,8.393,7.521,6.618,5.77,5.371,4.971,4.56,5.34,5.257
Mali,1.324,1.323,1.329,1.333,1.352,1.385,1.372,1.349,1.361,1.37,1.494,1.62,1.619,3.53,2.603
Malta,6.47,5.98,6.89,6.85,6.38,6.2,6.11,5.73,5.38,4.69,4.0,3.66,3.62,4.35,3.53
Ilhas Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritânia,9.977,9.948,9.935,9.895,9.869,9.86,9.967,10.066,10.152,10.308,10.34,10.391,10.402,11.137,11.287
Maurício,8.48,7.17,7.26,7.65,7.45,7.47,7.32,7.47,7.41,6.81,6.75,6.43,6.33,8.63,7.656
México,3.63,3.87,5.36,5.3,5.17,4.89,4.91,4.81,4.31,3.86,3.42,3.27,3.48,4.45,4.09
Micronésia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moldávia,5.07,3.98,6.4,7.45,6.68,5.58,5.1,3.73,4.7,4.02,3.89,2.91,5.1,3.82,3.23
Mônaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongólia,7.2,5.56,5.86,6.55,4.77,3.9,4.23,4.8,4.86,7.24,6.36,5.38,5.443,6.59,7.75
Montenegro,19.4,17.15,19.09,19.65,19.76,19.81,19.59,18.05,17.55,17.73,16.08,15.19,15.13,17.88,16.87
Marrocos,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.225,9.239,9.242,11.114,10.542
Moçambique,3.097,3.141,3.19,3.229,3.263,3.304,3.347,3.384,3.43,3.454,3.453,3.455,3.465,3.776,3.939
Mianmar,0.669,0.682,0.69,0.696,0.719,0.731,0.722,0.723,0.77,0.994,1.36,0.77,0.41,1.48,0.0
Namíbia,22.203,22.253,22.293,22.12,19.46,16.77,19.03,18.52,20.895,23.35,21.656,19.88,20.002,21.236,21.268
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,10.514,10.593,10.542,10.548,10.503,10.531,10.502,10.576,10.512,10.403,10.66,10.623,10.599,13.078,12.223
Países Baixos,4.15,3.65,4.35,4.99,4.98,5.82,7.24,7.42,6.87,6.01,4.84,3.83,3.38,3.82,4.21
Nova Caledônia,14.807,14.611,13.97,13.731,14.036,14.358,14.466,14.59,13.891,13.182,12.275,11.603,10.88,13.56,12.436
Nova Zelândia,3.66,4.17,6.12,6.56,6.49,6.93,5.84,5.43,5.41,5.15,4.74,4.33,4.11,4.6,3.78
Nicarágua,4.89,6.2,8.16,7.83,6.499,5.21,5.28,4.52,4.7,3.9,3.3,5.2,5.202,5.937,5.932
Níger,2.216,1.702,1.274,0.771,0.32,2.18,1.381,0.52,0.532,0.534,0.542,0.542,0.552,0.68,0.668
Nigéria,3.791,3.782,3.763,3.755,3.77,3.75,3.7,3.944,4.221,4.509,4.729,4.963,5.206,5.999,5.936
Macedônia do Norte,35.23,33.93,32.35,33.13,31.5,31.2,29.14,28.38,26.43,24.3,22.81,21.2,17.39,16.55,15.78
Ilhas Marianas do Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noruega,2.49,2.55,3.1,3.52,3.21,3.12,3.42,3.48,4.3,4.68,4.16,3.8,3.69,4.42,4.37
Omã,4.189,4.14,4.058,4.007,3.865,3.658,3.602,3.55,3.384,3.27,2.573,1.8,1.85,2.94,2.512
Paquistão,0.4,0.42,0.54,0.65,0.8,1.864,2.95,1.83,3.57,3.756,3.913,4.08,4.83,6.55,6.34
Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panamá,5.844,5.908,6.011,5.875,4.05,3.717,3.703,4.419,4.368,4.759,5.392,5.218,6.33,14.114,10.301
Papua-Nova Guiné,2.241,2.326,2.125,2.0,2.62,2.533,2.533,2.34,2.449,2.455,2.478,2.538,2.432,2.694,2.825
Paraguai,4.71,4.42,5.46,4.57,4.67,4.09,4.38,5.03,4.56,5.25,4.61,6.22,6.59,7.55,7.31
Peru,4.08,4.03,3.96,3.6,3.48,3.24,3.57,3.21,3.27,3.74,3.69,3.49,3.38,7.18,5.1
Filipinas,3.43,3.72,3.86,3.61,3.59,3.5,3.5,3.6,3.07,2.7,2.55,2.34,2.24,2.52,2.632
Polônia,9.6,7.12,8.17,9.64,9.63,10.09,10.33,8.99,7.5,6.16,4.89,3.85,3.28,3.16,3.36
Portugal,7.97,7.55,9.43,10.77,12.68,15.53,16.19,13.9,12.45,11.07,8.87,6.99,6.46,6.8,6.58
Porto Rico,10.93,11.48,15.0,16.1,15.7,14.5,14.3,13.9,12.0,11.8,10.8,9.2,8.3,8.89,7.9
Catar,0.52,0.31,0.31,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.14,0.17
Romênia,6.41,5.79,6.86,6.96,7.18,6.79,7.1,6.8,6.81,5.9,4.93,4.19,3.91,5.03,5.59
Rússia,6.0,6.21,8.3,7.37,6.54,5.44,5.46,5.16,5.57,5.56,5.21,4.85,4.5,5.59,4.72
Ruanda,11.916,11.857,11.92,11.895,11.877,11.858,11.906,11.876,11.828,11.86,11.88,12.1,12.43,13.01,13.315
Samoa,5.359,5.584,5.836,5.731,5.68,8.75,8.661,8.72,8.763,8.819,9.4,9.472,9.147,9.793,9.91
San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Tomé e Príncipe,16.315,15.617,15.258,14.585,14.105,13.59,13.617,13.64,13.78,13.839,13.911,13.998,14.078,15.443,15.34
Arábia Saudita,5.73,5.08,5.38,5.55,5.77,5.52,5.6,5.72,5.6,5.6,5.89,6.03,5.64,7.45,6.692
Senegal,10.073,10.104,10.194,10.233,10.36,9.41,8.589,7.625,6.76,4.46,4.08,3.57,2.86,3.509,3.498
Sérvia,18.06,13.7,16.14,19.22,22.97,24.0,22.15,19.22,17.66,15.26,13.48,12.73,10.39,9.01,10.06
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serra Leoa,3.787,3.924,4.06,4.175,4.295,4.375,4.469,4.68,4.437,3.927,3.561,3.19,3.193,3.572,3.697
Singapura,3.9,3.96,5.86,4.12,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.641,3.1,4.1,3.54
São Martinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eslováquia,11.14,9.51,12.03,14.38,13.62,13.96,14.22,13.18,11.48,9.67,8.13,6.54,5.75,6.69,6.83
Eslovênia,4.82,4.37,5.86,7.24,8.17,8.84,10.1,9.67,8.96,8.0,6.56,5.11,4.45,4.97,4.74
Ilhas Salomão,1.886,1.894,2.02,1.568,1.288,1.055,0.69,0.734,0.733,0.691,0.698,0.714,0.744,0.892,0.988
Somália,19.174,19.175,19.174,19.174,19.173,19.161,19.066,19.01,18.877,18.931,18.975,18.87,18.828,19.567,19.931
África do Sul,19.543,19.51,20.51,23.18,21.42,21.79,22.04,22.61,22.87,24.02,23.99,24.22,25.54,24.34,28.77
Sudão do Sul,12.133,12.15,12.211,12.138,12.203,12.342,12.036,12.139,12.29,12.326,12.26,12.229,12.199,13.745,13.485
Espanha,8.23,11.25,17.86,19.86,21.39,24.79,26.09,24.44,22.06,19.64,17.22,15.25,14.1,15.53,14.78
Sri Lanka,5.97,5.22,5.85,4.78,4.12,3.88,4.24,4.19,4.52,4.24,4.05,4.32,4.67,5.2,5.239
São Cristóvão e Névis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Lúcia,14.0,12.72,15.37,17.111,18.86,19.06,22.21,21.303,20.556,19.659,18.86,19.08,15.32,20.39,19.52
São Martinho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São Vicente e Granadinas,19.071,18.79,18.917,18.977,18.919,18.893,18.905,18.948,18.969,18.978,19.028,19.02,19.09,20.55,20.398
Sudão,14.843,14.8,13.0,15.13,17.44,17.668,17.405,17.385,17.444,17.441,17.501,17.572,17.586,19.292,19.05
Suriname,9.031,8.875,8.72,7.15,7.54,8.1,6.6,6.94,7.22,7.92,7.91,7.932,8.029,9.524,9.078
Suécia,6.16,6.23,8.35,8.61,7.8,7.98,8.05,7.95,7.43,6.99,6.72,6.36,6.83,8.29,8.72
